iter	Passed	Remaining
0	0	67
1	1	61
2	1	56
3	2	51
4	2	50
5	3	50
6	3	49
7	4	49
8	4	48
9	5	47
10	5	45
11	6	45
12	6	44
13	7	43
14	7	43
15	8	43
16	8	42
17	9	42
18	9	41
19	10	41
20	10	41
21	11	40
22	11	39
23	12	39
24	12	38
25	13	38
26	13	37
27	14	37
28	14	36
29	15	35
30	15	35
31	16	35
32	17	35
33	17	34
34	18	34
35	18	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	25	24
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	20
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	36	13
73	37	13
74	38	12
75	38	12
76	38	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
